timestamp,turbine_id,wind_speed,wind_direction,power_output
2022-03-01 00:00:00,6,15,112,4.2
2022-03-01 00:00:00,7,10.8,308,3.9
2022-03-01 00:00:00,8,12.6,201,2.9
2022-03-01 00:00:00,9,9.5,8,3.2
2022-03-01 00:00:00,10,10.7,44,3.4
2022-03-01 01:00:00,6,14.4,213,3.5
2022-03-01 01:00:00,7,14.8,246,4.5
2022-03-01 01:00:00,8,11.4,289,3.2
2022-03-01 01:00:00,9,13.1,0,1.6
2022-03-01 01:00:00,10,14.5,337,3.3
2022-03-01 02:00:00,6,14.4,123,2.3
2022-03-01 02:00:00,7,12.6,180,4.3
2022-03-01 02:00:00,8,14.6,279,3.4
2022-03-01 02:00:00,9,9.7,187,3.7
2022-03-01 02:00:00,10,13.2,280,2.5
2022-03-01 03:00:00,6,10.3,276,1.6
2022-03-01 03:00:00,7,13.4,112,2.2
2022-03-01 03:00:00,8,10.6,36,2.8
2022-03-01 03:00:00,9,10.3,241,2.8
2022-03-01 03:00:00,10,12.8,137,3.5
2022-03-01 04:00:00,6,13.1,265,4.3
2022-03-01 04:00:00,7,10.8,219,2.8
2022-03-01 04:00:00,8,14.1,17,2.9
2022-03-01 04:00:00,9,11.9,169,1.8
2022-03-01 04:00:00,10,13.4,330,3.9
2022-03-01 05:00:00,6,9.6,1,3.2
2022-03-01 05:00:00,7,11.5,140,2
2022-03-01 05:00:00,8,10.4,320,3.1
2022-03-01 05:00:00,9,10.1,119,2.3
2022-03-01 05:00:00,10,14,15,3.7
2022-03-01 06:00:00,6,10.6,247,2.9
2022-03-01 06:00:00,7,10.6,219,1.7
2022-03-01 06:00:00,8,10.2,121,2.8
2022-03-01 06:00:00,9,12.9,227,3.9
2022-03-01 06:00:00,10,12.5,303,2.6
2022-03-01 07:00:00,6,10.6,340,2.5
2022-03-01 07:00:00,7,9,281,3.5
2022-03-01 07:00:00,8,12.2,8,1.7
2022-03-01 07:00:00,9,12.7,137,2.9
2022-03-01 07:00:00,10,12,72,2.4
2022-03-01 08:00:00,6,13.1,335,4.5
2022-03-01 08:00:00,7,14.7,115,3.9
2022-03-01 08:00:00,8,14.4,339,4.2
2022-03-01 08:00:00,9,10.8,357,2.5
2022-03-01 08:00:00,10,9.4,344,3
2022-03-01 09:00:00,6,14.8,89,2.1
